,Title,Brand,Label
26,"Tampilan Sporty Daihatsu Sirion, dan YouTuber Dipepet Bus TJ",Daihatsu,1
27,"Segera Lepas Kandang, Penampakan Daihatsu Sirion Facelift Tepergok, Intip Fiturnya",Daihatsu,1
28,"Siap-siap, Daihatsu Pamerkan Mobil Barunya Awal Juni, Sirion Facelift?",Daihatsu,1
29,"Sopir Isuzu Elf Pusing, Bikin Bonyok Daihatsu Gran Max, Mental Nonjok Panther",Daihatsu,-1
30,"Awali Kuartal 2 Tahun 2022, Penjualan Daihatsu Naik 41,8%",Daihatsu,1
31,Daihatsu Indonesia Masters 2022 Siap Digelar Pada 7-12 Juni 2022 di Istora Senayan Jakarta,Daihatsu,1
32,"Digulung Sigra dan Ayla, Ini Sebab Rocky Tak Masuk Lima Mobil Terlaris Daihatsu",Daihatsu,-1
33,"Melonjak 41,8 Persen, Penjualan Daihatsu Xenia terus Naik",Daihatsu,1
34,65 Bengkel Siaga Daihatsu Siap Temani Arus Balik Mudik,Daihatsu,1
35,"Harga Mobil Daihatsu Tak Goyang, Padahal Ada Isu Global dan Kelangkaan Chip",Daihatsu,1
36,"Dipergoki Anggota TNI, Daihatsu Xenia Ditinggal Kabur, Isi Kabin Sesuai Dugaan",Daihatsu,0
37,"Dokter Bertangan Dingin, Daihatsu Gran Max Buluk Disulap Kayak Baru",Daihatsu,1
38,"Misterius, Daihatsu Xenia Dikeroyok Api Saat Maghrib, Pengemudi Menghilang",Daihatsu,-1
39,"Pria Bertangan Setan Diburu Polisi, Dua Kali Terekam CCTV, Lukai Bodi Daihatsu Xenia",Daihatsu,0
40,"Koprol ke Jurang Kere, Daihatsu Espass Babak Belur, Luka di Tubuh Sopir Mengejutkan",Daihatsu,-1
41,Bengkel Siaga Daihatsu Ramai Dikunjungi Selama Libur Lebaran,Daihatsu,1
42,Penguasaan Pasar Daihatsu di Indonesia Sejauh Ini Terus Lampaui Target!,Daihatsu,1
43,"Merek Mobil China & Korea Makin Serius Garap Indonesia, Daihatsu Tetap Percaya Diri",Daihatsu,1
44,Xenia Masih Jadi Mobil Daihatsu dengan Pertumbuhan Penjualan Tertinggi,Daihatsu,1
45,"Enggak Perlu Dikuras, Segini Biaya Ganti Oli Matik Toyota Calya dan Daihatsu Sigra",Daihatsu,0
46,"Mobil Doang Gagah, Sopir Daihatsu Taft Hiline Dicari Polisi, Alasan Tak Punya Nurani",Daihatsu,1
47,"Daihatsu Ucapkan Terimakasih, Ganda Putra Bulutangkis Indonesia Juara Internasional Daihatsu Indonesia Masters",Daihatsu,1
48,"Tragedi Maut Daihatsu Sigra Diparut Truk, Bodi Kanan Sobek, Ibu Guru Tutup Usia",Daihatsu,-1
49,"Pengendara Suzuki Spin Bikin Kesalahan Fatal, Tewas Sia-sia, Disabet Daihatsu Xenia",Daihatsu,0
50,"Bukan Karena Truk, Ini Penyebab Asli Daihatsu Ayla Tenggelam di Sungai Balongbendo",Daihatsu,0
51,"Bodi Daihatsu Taruna Cekung, Atap Terlipat, Tusukan Maut Truk Boks Telan Nyawa",Daihatsu,-1
52,"Waspada Bekas Taksi Online, Begini Tips Berburu Toyota Calya dan Daihatsu Sigra",Daihatsu,0
53,"Dipakai Ngelatih Istri Nyetir, Pak Gimin Syok, Seisi Daihatsu Espass Jadi Rongsokan",Daihatsu,0
54,"Di Tengah Tren SUV, Kok Terios Cuma Mobil Terlaris Kelima Daihatsu?",Daihatsu,-1
55,"Gara-gara Toyota Vios Mogok Kehabisan Bensin, Daihatsu Gran Max Jumpalitan",Daihatsu,0
56,"Selisih Rp 9,2 Juta, Ini Perbedaaan Dua Varian Daihatsu Sirion 2022",Daihatsu,0
57,"Tanpa Fitur ASA, Konsumen Daihatsu Sirion 2022 Bisa Hemat Rp 10 Jutaan",Daihatsu,1
58,"Ada 14 Perubahan Daihatsu New Sirion 2022, Ini Dia Detailnya",Daihatsu,1
59,"Daihatsu Sirion 2022 Pantang Mundur di Tanjakan, Fitur Canggih Jadi Pemikat",Daihatsu,1
60,"Daihatsu Sirion Anyar Keluar Kandang, Tawarkan 2 Varian, Segini Harganya",Daihatsu,0
61,"Daihatsu New Sirion 2022 Meluncur, Bidik Milenial, Harga Segini",Daihatsu,1
62,"Transmisi CVT Daihatsu Sirion 2022 Beda Dari Biasanya, Ada Tambahan Ini",Daihatsu,1
63,"Setahun Ngejogrok, Daihatsu Xenia Terbakar Misterius, Hampir Seluruh Bodi Melepuh",Daihatsu,-1
64,"Ayah Ceroboh Tinggalin Anak di Kabin, Stater Mesin, Datsun Go+ Kecemplung Irigasi",Datsun,0
65,Datsun Bakal Dijadikan Mobil Listrik Murah oleh Nissan,Datsun,1
66,"Lagi Dibahas, Peluang ‘Hidupkan’ Datsun Sebagai Merek Mobil Listrik Murah",Datsun,1
67,"Punya Banyak Model Bodi, Varian Basic Ford Ranger Mulai Rp 230 Jutaan",Ford,0
68,"Ford Ranger di Negara Seberang Dapat Tiga Varian Baru, Berikut Detailnya",Ford,0
69,Pesaing Mobil Ford Ranger Raptor Segera Hadir,Ford,0
70,Ford Patenkan Remote Engine Start dengan Revving System,Ford,1
71,Ford Resmi Menampilkan Kendaraan Futuristik Bertenaga Listrik,Ford,1
72,Seminggu Bersama Honda BR-V #1 : Aslinya Lebih Menarik Daripada Fotonya,Foton,1
73,"Usai Digelar, Ini Pemenang Hino Telematic Safety Driving Competition 2022",Hino,0
74,"Memuaskan, Akselerasi All New Honda HR-V RS Jauh Ngejambak Dari Model Lama",Honda,1
75,"Honda CR-V Facelift Mengintip, Pamer Teknologi Lewat Emblem di Pintu Bagasi",Honda,1
76,"Honda CR-V Gen 3 Usia Sudah 10 Tahun, Ini Estimasi Perawatan Girboks Maticnya",Honda,0
77,"Small SUV Honda Tantang Raize Dan Sonet, Muncul Enggak Lama Lagi",Honda,1
79,"Update Harga Sedan Honda per Mei, City Sampai Civic RS, Dibanderol Segini",Honda,0
80,"Posisi dan Kondisi Tak Biasa, Honda City Dikerumuni Polwan di Pulogadung",Honda,0
81,"Honda Civic FB Seken Sering Alami Penyakit Ini, Sekali Dandan Habis Duit Rp 2 Jutaan",Honda,-1
82,"Mengerikan, Kondisi Hancur Lebur, Honda Mobilio Jebol Pagar Besi Ruas Tol Madiun",Honda,0
84,"Anak Durhaka, Ngamuk Bakar Honda PCX di Garasi, Rumah dan Suzuki Carry Ikut Ludes",Honda,0
86,"Mencengangkan, Disabilitas Berotak Maling, Gondol Honda Civic FB2 Modus COD",Honda,0
87,"Ancang-ancang Ditendang Honda, Pol Espargaro Ngaku Ditawari Kerjaan Gaji Gede",Honda,0
88,"Termurah Sejutaan, Segini Harga Sokbreker Honda HR-V Dari Beberapa Merek",Honda,0
92,"Estimasi Penggantian Komponen Transmisi Manual Honda CR-V Gen 3, Konsumen Siapkan Dana Segini",Honda,0
95,"Tenaga Memuaskan, Segini Konsumsi Bensin Honda Civic RS di Rute Dalam Kota dan Tol",Honda,1
96,"Disiksa Sampai 5 Tahun, Segini Budget Servis Honda Civic RS Hingga 100 Ribu Km",Honda,1
97,"Terbengkalai, Puluhan Honda Supra dan Suzuki Smash Pelat Merah Berdebu Parah di Kantor Pemkot Depok",Honda,0
100,"Pelihara All New Honda Civic RS, Tiap Tahun Wajib Setor Pajak Segini",Honda,-1
101,"Akselerasi Honda Civic RS Ngejambak, Lebih Kencang 2,4 Detik Dari Rival Dekat Ini",Honda,1
104,"Melintir Jadi Petaka, Benturan Keras Bikin Toyota Avanza dan Honda Brio Sisa Rangka",Honda,-1
105,"Menolak Standar, Body Kit Rp 6 Jutaan Bikin Honda HR-V 2022 Jadi Lirikan",Honda,1
107,"Honda Civic FB Seken Butuh Dirawat Transmisi Matiknya, Anjuran Tiap 40 Ribu Km",Honda,-1
109,"All New Honda HR-V Bisa Makin Ganteng, Pasang Aksesori Ini, Harga Mulai Rp 180 Ribuan",Honda,1
111,"Honda Jazz GE8 Bugar Lagi, Bisa Ganti Komponen Fast Moving, Mulai Rp 45 Ribuan",Honda,1
113,"Dibawa Wanita Muda, Honda Jazz Sasak Puluhan Motor, Efek Gagal Nyalip",Honda,0
122,"Honda HR-V Seken Niat Dibeli, Segini Konsumsi Bensin dan Akselarasinya, Irit!",Honda,1
124,"Honda Brio Tetap Jadi Raja, Apa Kabar Penjualan HR-V dan BR-V?",Honda,1
126,"Niat Tebus Honda HR-V Seken, Pelajari Dulu Kelebihan & Kekurangannya",Honda,0
134,"Panoramic Glass Roof Honda HR-V Tak Bisa Dibuka, Ini Jawaban Honda",Honda,-1
137,"Sedan Mewah Toyota Camry Rp10 Jutaan, dan Harga Rival Honda CR-V",Honda,0
138,Honda Kembali Meninjau Rancangan Mobil Listriknya,Honda,1
139,Ada yang Mengejutkan di Atap Honda HR-V Baru,Honda,1
140,"Panoramic Sunroof Honda HR-V Pakai Tirai, Bukan untuk Tolak UV",Honda,1
141,Atap Honda HR-V Mengejutkan,Honda,1
142,Daftar Mobil Honda yang Belinya Harus Inden,Honda,0
143,Desain Honda HR-V Berubah Gara-gara Ini,Honda,0
144,Honda Janjikan Waktu Inden All New HR-V Tidak Lama Berkat ini,Honda,1
145,Honda CRF1100L Africa Twin Adventure Sports Makin Canggih,Honda,1
146,"All New Honda Civic RS, Safety Car di Ajang Mandalika Track Day 2022",Honda,1
147,New Honda Brio RS Urbanite Edition Jadi Armada Resmi ISSOM 2022,Honda,1
148,"Enggak Nyangka, Honda HR-V RS Turbo Asyik Dibejek Di Mandalika",Honda,0
149,"Perdana, Honda SUV RS Concept Sambangi Kota Semarang",Honda,1
152,"Inden Mobil Rp130 Jutaan, dan Sebab Desain Honda HR-V Berubah",Honda,1
153,Honda Siap Memperkenalkan CR-V Terbaru di Amerika Utara,Honda,1
154,Cara Mudah Beli Honda HR-V Tanpa Perlu Inden Lama,Honda,1
155,Segini Harga Rival Honda CR-V di Malaysia,Honda,0
156,"Honda Mobilio Cuma Ada 1 Varian, Ini Alasannya",Honda,0
157,Pendapatan Honda Menurun Karena Masalah Ini,Honda,-1
158,Honda ZR-V : Ternyata Bukan Versi Produksi SUV RS Concept,Honda,0
159,"Honda SUV RS Concept Sapa Publik Jawa Tengah, Tes Pasar?",Honda,1
160,Honda Imora Sentul : Dealer Honda Dengan Peforma Terbaik di Jabodetabek!,Honda,1
161,"Penjualan Honda Indonesia Naik (Lagi) Bulan Lalu, Efek All New HR-V?",Honda,1
162,Honda Brio RS Urbanite Jadi Official Car Clerk of The Course Untuk ISSOM 2022!,Honda,1
163,"Honda Brio Virtual Modification Kembali, Karya Pemenang Bakal Dibuat Versi 1:1",Honda,1
164,Seminggu Bersama Honda BR-V #2 : Fun To Drive & Suspensi Lebih Enak,Honda,1
165,"Inilah Alasan Mengapa Honda Mobilio Tetap Dijual, Walaupun Hanya 1 Tipe",Honda,1
166,Honda Buka-bukaan soal Masa Depan Mobilio,Honda,0
167,Honda Jadi Sponsor Utama Japanese Grand Prix 2022,Honda,1
168,Seminggu Bersama Honda BR-V #3 : Gallery Foto,Honda,1
169,"Ngebut Pakai All New Honda HR-V RS di Sirkuit Mandalika, Karakternya Unik!",Honda,1
170,"Inden All New Honda HR-V Mengular, Honda Indonesia Minta Support Prinsipal",Honda,0
171,Mobil Baru Honda Konsumsi Bensinnya 26 Km per Liter,Honda,0
172,"Pesaing Toyota Raize, dan Konsumsi BBM Mobil Honda 26 Kpl",Honda,0
173,Honda HR-V Baru Ini Bikin Netizen Sedih,Honda,-1
174,"Honda HR-V Bikin Sedih, dan Mobil Baru di Bawah Rp150 Juta",Honda,-1
175,Honda Adakan Ajang Drifting di BSD Pakai Brio,Honda,1
176,Seminggu Bersama Honda BR-V #1 : Aslinya Lebih Menarik Daripada Fotonya,Honda,1
177,Jelajah Lombok dan Bali Naik All New Honda HR-V,Honda,0
178,"Ajang Slalom Honda Brio Resmi Dimulai, Tantang Pecinta Slalom Tanah Air",Honda,0
180,"Bakal Banyak Ketemu Kembaran di Jalan, Varian All New Honda HR-V Ini Paling Laku",Honda,1
181,"Musuh Honda CR-V Dkk Kembali, Subaru Forester 2022 Unjuk Kelebihan Ini",Honda,-1
184,Honda Civic RS Diberi Tugas Penting  di Gelaran Mandalika Track Day,Honda,1
185,"Konsumen Bebas Pilih, Beda Honda CB150X SE dan Standar Ada di Sebelah Sini",Honda,0
186,"Inden All New Honda HR-V di Indonesia Belum Seberapa, di Jepang Bisa Setahun!",Honda,0
190,"Kacau Nih, Pol Espargaro Sudah Mulai Membandingkan Honda dan KTM, Gini Katanya",Honda,-1
194,Pesaing Honda CR-V akan Segera Hadir di India,Honda,0
195,"Krisis Cip Semikonduktor, Honda Cari Komponen Brio di Pemasok Lain",Honda,-1
196,BR-V Berpotensi Jadi Mobil Terlaris Honda di Indonesia Menggantikan Brio,Honda,1
198,"Honda Rilis Teaser CR-V 2023, Seperti ini Tampangnya",Honda,1
199,"Lagi Riset untuk SUV Pesaing Raize, Honda Beberkan Kisaran Harganya!",Honda,0
200,"Terungkap, Alasan All New Honda HR-V Rakitan Indonesia Tak Ikut Diekspor",Honda,0
201,"Sunroof Honda HR-V Lawas Elektrik, Kok yang Baru Malah Jadi Manual?",Honda,0
202,"Masih Dilanda Krisis Cip, Inden All New Honda HR-V Sampai September 2022",Honda,-1
203,"Motor Trail ‘Sultan’ Honda CRF1100L Punya Fitur Baru, Harga Mulai Rp620 Juta",Honda,1
204,"Honda Brio Virtual Modification 2022 Resmi Digelar, Hadiah Puluhan Juta Rupiah Tunai!",Honda,1
206,"Dejavu! Honda SUV RS Concept Dibawa Keliling Kota, Kini ke Semarang",Honda,0
207,"Periksa Mobil Honda Kesayangan di Bengkel Honda Camp, Konsumen Menang Banyak",Honda,0
208,"Honda Civic Turbo Hatchback Modifnya Tanpa Batas, Selalu Ada Part Baru",Honda,1
209,"Honda Jazz GD3 Masih Ngelawan, Model Masih Enak Dilihat, Interior Oke",Honda,1
210,"Jangan Protes, Karena Alasan Ini Honda HR-V 2022 Cuma Pakai Panoramic Roof",Honda,0
213,Fakta Mengejutkan Mobil Baru Pesaing Hyundai Creta,Hyundai,0
214,Hyundai Ioniq 6 Segera Mengaspal,Hyundai,1
215,"Menjadi Pesaing Ertiga dan Avanza, Segini Harga Hyundai Stargazer",Hyundai,0
216,"Mengulik Kecanggihan Sistem Keamanan Hyundai CRETA, Hyundai SmartSense",Hyundai,1
217,Hyundai Semakin Tenar di Indonesia,Hyundai,1
218,"Mengintip Kabin Hyundai CRETA, Tonjolkan Nuansa Sporty yang Nyaman dan Berkelas",Hyundai,1
219,"Sales Segera Dapat Pelatihan, Hyundai Stargazer Kemungkinan Meluncur Bulan Ini",Hyundai,1
220,"Bosnya Sendiri Bocorkan, Hyundai Siap Bikin Mobil Listrik Murah",Hyundai,1
221,"Bos Hyundai Ditodong, Kapan Bikin Mobil Listrik Murah? Ini Jawabnya",Hyundai,0
222,"Shin Tae-yong’s Bawa Indonesia Lolos ke Piala Asia 2023, Begini Cerita Coach Shin Saat Nyetir Hyundai Creta",Hyundai,0
223,"Akhirnya Ketahuan, Tampang Hyundai Stargazer Resmi Dirilis, Terinspirasi Garis Katulistiwa",Hyundai,1
224,"Hyundai Motorstudio Ke-7 Dunia Ada di Indonesia, Diserbu Ribuan Pengujung Karena Ini",Hyundai,1
225,Bocoran Spesifikasi Mobil Toyota Pesaing Hyundai Creta,Hyundai,0
226,"Bukan Raize, Ini Mobil Baru Pesaing Hyundai Creta dari Toyota",Hyundai,0
227,"Harga Pesaing Ioniq 5, dan Hyundai Siapkan Pabrik Baru",Hyundai,0
228,Segini Harga Mobil Pesaing Hyundai Ioniq 5 di Malaysia,Hyundai,0
229,Hyundai Siapkan Pabrik Mobil Listrik Baru Senilai Rp80 Triliun,Hyundai,1
231,Mobil Bekas Hyundai Jarang Ada di Showroom,Hyundai,0
232,"Hyundai Semakin Tenar, dan Bikin Mobil Kembali Nyaman",Hyundai,1
233,Ratusan Ribu Mobil Hyundai Kena Recall karena Berpotensi Terbakar,Hyundai,-1
235,"Harga OTR Hyundai Stargazer Ketemu, Murah Mana Dari Avanza, Xenia Sampai Xpander?",Hyundai,0
236,"Hyundai Yakin Masuk Lima, Bahkan Tiga Besar Merek Mobil Terlaris di Indonesia",Hyundai,1
237,"Creta Harus Melawan HR-V Terbaru, Hyundai Tetap Percaya Diri",Hyundai,1
238,Penjualan Hyundai Creta di Indonesia Sudah Mendekati 5.000 Unit,Hyundai,1
239,Ini Deretan Aksesoris Resmi Hyundai Creta Bergaransi,Hyundai,0
240,"Mau Beli Mobil Listrik Hyundai Ioniq 5? Sabar, Ya, Indennya 4-5 Bulan",Hyundai,0
241,Pemesanan Hyundai Ioniq 5 Tembus Hampir 1.700 SPK,Hyundai,0
242,Nyaris 1.700 Orang Indonesia Berduit Pesan Hyundai Ioniq 5,Hyundai,1
243,Penjualan Hyundai di Indonesia Cepat Banget Naik! Apa Penyebabnya?,Hyundai,1
244,"Hyundai Indonesia Panen SPK IONIQ 5, Tembus 1.587 Unit?",Hyundai,1
245,Apa Yang Membuat Hyundai CRETA Cocok Jadi Mobil Pertamamu?,Hyundai,1
254,"Jeep Cherokee Sport Dipasangi Bullbar Badak, Kuat Terjang Halang Rintang",Jeep,1
255,"Berasa Main Game, Turun Naikin Kecepatan Jeep Gladiator Double Cabin Cuma Pakai Jari",Jeep,1
256,"JEEP Gladiator JT Rubicon Seharga Rp 1,98 Miliar, Punya Fitur Penghemat BBM",Jeep,1
257,"Ini Sebabnya Orang Berduit Suka Jeep Wrangler JK, Turun Mobil Aja Jadi Pusat Perhatian",Jeep,1
258,"Land Rover Rilis Range Rover Sport, Ada Versi Hybrid",Land Rover,1
259,"Sangar, Lexus RX Generasi Baru Mengaspal, Tawarkan 6 Varian Mesin",Lexus,1
260,Imajinasi Liar Wujud Baru Lexus LC 500,Lexus,1
261,Lexus RX Generasi Terbaru Siap Debut Bulan Depan,Lexus,1
262,"Ini Bocoran Tiga Mobil Baru Mazda Tahun Ini, Bikin Penasaran",Mazda,1
263,"Pesanan Mazda CX-5 Capai Seribu Unit, Tapi Suplai Mandek",Mazda,1
264,Mobil Penantang Mazda CX-5 Resmi Mengaspal di Indonesia,Mazda,0
265,"Mazda2 Sedan Diuji Jalan di Indonesia, Pasar Sedan Memanas?",Mazda,0
266,"Eurokars Siapkan New Mazda CX-5 Elite Untuk Konsumen Sogo, Kumpulin Poinnya!",Mazda,1
267,"Truk Canggih Rakitan Indonesia, Mercedes-Benz Axor Euro 4 Resmi Dijual",Mercedes,1
268,"Mercedes-Benz Axor 4028T, Canggih, Punya Cruise Control Hingga Tombol Engine Brake",Mercedes,1
269,Indonesia Disebut Berpotensi Menjadi Basis Ekspor Truk Mercedes-Benz,Mercedes,1
270,Mercedes-Benz Rilis Mobil Baru Edisi Terbatas,Mercedes,1
271,Mercedes-Benz Hadirkan Mobil Keluarga Baru,Mercedes,1
272,Mercedes-Benz Indonesia Lirik Teknologi NFT,Mercedes,0
273,"Akan Jual Bus Listrik di Indonesia, Mercedes-Benz Siapkan Strategi Hadapi China",Mercedes,1
274,"Munas ke 7 Mercedes Benz SL Club Indonesia, Terpilih Presiden Baru",Mercedes,0
276,Kenali Keunggulan Mitsubishi Pajero Sport,Mitsubishi,1
277,"Desain Paten Kena Intip, Seperti Ini Dugaan Wujud Mitsubishi Xpander Cross Facelift",Mitsubishi,-1
278,"Mitsubishi Kenalkan Aplikasi MMID, Bikin Mudah dan Nyaman",Mitsubishi,1
279,"Usung Konsep Life Adventure, Mitsubishi Kenalkan Branding Baru",Mitsubishi,1
280,"Perkuat Branding Baru, Ini Loyal Customer yang Menjadi Duta Mitsubishi",Mitsubishi,1
281,Tengok Aksi Berbagi Mitsubishi Indonesia di Pantai Wreda,Mitsubishi,1
282,"Terus Tingkatkan Kenyamanan Pelanggan, Ini yang Dilakukan Mitsubishi",Mitsubishi,1
283,Mitsubishi Luncurkan Mobil Listrik Harganya Rp200 Jutaan,Mitsubishi,1
284,"Mitsubishi Gelar Pameran di 14 Kota ini, Catat Tanggalnya!",Mitsubishi,1
285,"Mitsubishi Perkenalkan All New eK X EV, Jelajah Tembus 180 Km",Mitsubishi,1
286,"Mulai Rp 200 Jutaan, Harga Mitsubishi Xpander dan Xpander Cross Anteng di Juni 2022",Mitsubishi,0
289,"Mitsubishi Luncurkan Mobil Listrik Mungil eK X EV, Wajah Mirip Xpander",Mitsubishi,1
290,"Indonesia Penyumbang Nomor 1 Mitsubishi, Ini Mobil Terlarisnya",Mitsubishi,1
291,Indonesia Jualan Tertinggi Mobil Mitsubishi,Mitsubishi,1
292,"Jangan Bingung, Muncul Logo Kunci di Layar MID, Mitsubishi Kasih Tips Ini",Mitsubishi,0
293,Mitsubishi Operasikan Diler Kedua di Indramayu,Mitsubishi,0
294,"Beri Kualitas Terbaik, Mitsubishi Usung Konsep Duta Mitsubishi",Mitsubishi,1
295,"Tiga Diler Mitsubishi Baru Diresmikan, MMKSI Perkuat Jaringan Di Provinsi Lampung",Mitsubishi,1
296,"Dijual Rp 60 Juta Belum Laku, Penjual Mitsubishi Pajero Sport Justru Disikat Polisi",Mitsubishi,-1
297,Mitsubishi & 4 Merek Jepang Kembangkan Ekosistem Mobil Listrik di Bali,Mitsubishi,1
298,"Digendong Xpander, Mitsubishi Amankan Posisi Tiga Merek Mobil Terlaris, Ini Catatan Penjualannya",Mitsubishi,1
299,Mitsubishi Fuso Rayakan Eksistensi 90 Tahun Fuso,Mitsubishi,0
300,"Mitsubishi Buka Diler ke-161 di Indonesia, Lokasinya di Indramayu",Mitsubishi,0
301,"Mitsubishi Triton 2022, Eksterior Disegarkan, Mesin Berstandar Euro 4",Mitsubishi,0
303,Ganteng Banget! Mitsubishi Xpander Dipangkas Atapnya Jadi Convertible Ala Buggy,Mitsubishi,1
304,Datsun Bakal Dijadikan Mobil Listrik Murah oleh Nissan,Nissan,1
305,"All New Nissan X-Trail Versi Australia Pakai ProPilot, Indonesia Menyusul?",Nissan,1
307,"Nissan Jadi Pabrikan Jepang Satu-Satunya Ikut Balap Formula E, Pakai Basis Nissan LEAF",Nissan,1
308,"Hayo Loh, Nissan Grand Livina Disalip Kuda Asli, Lokasi Jalan Raya Solo-Jogja",Nissan,-1
310,Konsultasi OTOMOTIF: Penyebab Tabung Reservoir Radiator Nissan Grand Livina 1.8 XV Pasang Surut,Nissan,-1
313,Nissan Laporkan Hasil Laba Bersih di Tengah Krisis Chip,Nissan,0
314,Nissan Berencana Buat Mobil Listrik Performa Tinggi,Nissan,1
317,Uniknya Panel Instrumen Milik Peugeot 2008,Peugeot,1
318,Peugeot 308 Terbaru Jadi Mobil Terbaik Pilihan Wanita,Peugeot,1
319,Peugeot New 308 Didapuk MPV Berdesain Sensasional,Peugeot,1
320,"Gelar Bazaar, Astra Peugeot Tawarkan Diskon Suku Cadang Hingga 93%",Peugeot,1
321,"Peugeot Django Bisa Makin Ngacir, Modal Bore Up, Habis Duit Segini",Peugeot,1
322,"Peugeot Django Seken Cocok Dilirik, Skutik Bandel, Banyak Plusnya",Peugeot,1
323,"Jangan Takut Ngerawat Peugeot Django, Onderdil Bisa Pinjam ke NMAX Sampai Thunder",Peugeot,0
325,Bos Renault : Terlalu Cepat Pindah ke EV Akan Menyakiti Lingkungan,Renault,0
326,Merek Mobil China Ini Bayar Rp3 Triliun Demi Beli Saham Renault Korea,Renault,0
327,"Renault Scenic Resmi Disuntik Mati, Au Revoir MPV Cantik",Renault,-1
328,"Geely Beli 34% Saham Renault Korea Selatan, Demi Apa?",Renault,1
329,"Subaru Persiapkan Beberapa Diler di Dalam & Luar Jakarta, Beroperasi 2023",Subaru,1
330,"Subaru Mau Bangun 10 Diler dalam Lima Tahun, Enggak Terlalu Sedikit?",Subaru,-1
331,"Ingin Perluas Pasar, Subaru Incar Orang-Orang Kaya Indonesia",Subaru,1
332,"Perhatian, Loyalis Subaru! Merek Ini Memastikan Ikut GIIAS 2022",Subaru,1
333,‘Napas Baru’ Subaru di Indonesia Dimulai Dari All New Forester,Subaru,1
334,"Enggak Disangka, Teknologi AWD di Subaru Forester 2022 Beda Dari Mobil Lain",Subaru,1
335,"Musuh Honda CR-V Dkk Kembali, Subaru Forester 2022 Unjuk Kelebihan Ini",Subaru,1
336,"Cuma Satu Mesin, Ini Alasan Subaru Forester Hybrid e-Boxer Belum Dijual di Indonesia",Subaru,-1
337,Pemesan Subaru Forester di Indonesia Terima Unit Mulai Agustus 2022,Subaru,1
338,Aturan Pajak Terkini Bikin Harga Subaru Forester Kompetitif Meskipun AWD,Subaru,1
339,Ini Alasan Subaru Indonesia Impor Mobil dari Jepang dan Bukan Malaysia,Subaru,1
340,"Pakai Tipe Lineartronic, Ini Beda Transmisi Matik Subaru Forester Sama CVT Biasa",Subaru,1
341,Inilah Bocoran Calon SUV Subaru di Indonesia!,Subaru,1
342,"Joan Mir Galau Tapi Santai, Meski Ditinggal Suzuki Sudah Diajak Gabung Tim Ini",Suzuki,0
343,"Mulai Buka-bukaan, Begini Wujud Suzuki Ertiga Hybrid 2022 Tanpa Kamuflase",Suzuki,1
345,"Bermesin Setengah Listik, Ngerawat Suzuki Ertiga Hybrid Ada Biaya Tambahan Buat Ini",Suzuki,1
348,Segini Konsumsi BBM Suzuki Ertiga Hybrid,Suzuki,1
